Report Type,PREPBUFR Message Type,Description
111,SYNDAT,"SYNTHETIC (BOGUS) TROPICAL CYCLONE STORM CENTER - q, Pstn"
120,ADPUPA,"RAWINSONDE - Ts, q, Pstn, sst"
122,ADPUPA,"CLASS SOUNDING - Ts, q, Pstn"
126,RASSDA,RASS [FROM NOAA PROFILER NETWORK (NPN) OR MULTI-AGENCY PROFILER (MAP) NETWORK] - Ts
130,AIRCFT,AIREP AND PIREP AIRCRAFT - Ts
131,AIRCFT,"AMDAR AIRCRAFT - Ts, q (E-AMDAR only)"
132,ADPUPA,"FLIGHT-LEVEL RECONNAISSANCE AND PROFILE DROPSONDE - Ts, q, Pstn"
133,AIRCAR,"MDCRS ACARS AIRCRAFT - Ts, q"
134,AIRCFT,"TAMDAR AIRCRAFT - Ts, q"
135,AIRCFT,CANADIAN AMDAR AIRCRAFT - Ts
150,SPSSMI,SSM/I SUPEROBED (1 DEGREE LAT/LON) FNMOC (OPERATIONAL) RAIN RATE (DMSP) - rr
151,GOESND,"NESDIS 1x1 F-O-V CLOUD TOP PRESSURE, TEMPERATURE; CLOUD AMOUNT (GOES) - gos_ctp"
152,SPSSMI,SSM/I SUPEROBED (1 DEGREE LAT/LON) FNMOC (OPERATIONAL) PRECIPITABLE WATER OVER OCEAN (DMSP) - PWt
153,GPSIPW,GPS-INTEGRATED PRECIPITABLE WATER (GPS-IPW) - PWt
154,n/a,reserved for GOES IMAGER SKY-COVER DATA used only in RTMA/URMA
156,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER LAND - CLEAR (GOES) - PWl
157,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER LAND - CLOUDY (GOES) - PWl
158,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER OCEAN - CLEAR (GOES) - PWl
159,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER OCEAN - CLOUDY (GOES) - PWl
164,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER LAND - CLEAR (GOES) - Tb
165,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER LAND - CLOUDY (GOES) - Tb
170,,"NACELLE - Tb, q"
171,,"TALL TOWER - Tb, q"
174,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER OCEAN - CLEAR (GOES) - Tb
175,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER OCEAN - CLOUDY (GOES) - Tb
180,SFCSHP,"SURFACE MARINE WITH REPORTED STATION PRESSURE (SHIP, BUOY, C-MAN, TIDE GAUGE) - Ts, q, Pstn, sst"
181,ADPSFC,"SURFACE LAND [SYNOPTIC (fixed only), METAR] WITH REPORTED STATION PRESSURE - Ts, q, Pstn, sst, mta_cld (latter for METAR only)"
182,SFCSHP,"SPLASH-LEVEL DROPSONDE OVER OCEAN - Ts, q, Pstn"
