ob ID |   number   | description
00111 | 0000000000 | SYNTHETIC (BOGUS) TROPICAL CYCLONE STORM CENTER - q, Pstn
00120 | 0000278798 | RAWINSONDE - Ts, q, Pstn, sst
00122 | 0000000000 | CLASS SOUNDING - Ts, q, Pstn
00126 | 0000075584 | RASS [FROM NOAA PROFILER NETWORK (NPN) OR MULTI-AGENCY PROFILER (MAP) NETWORK] - Ts
00130 | 0000088624 | AIREP AND PIREP AIRCRAFT - Ts
00131 | 0000589235 | AMDAR AIRCRAFT - Ts, q (E-AMDAR only)
00132 | 0000000204 | FLIGHT-LEVEL RECONNAISSANCE AND PROFILE DROPSONDE - Ts, q, Pstn
00133 | 0003554520 | MDCRS ACARS AIRCRAFT - Ts, q
00134 | 0000080095 | TAMDAR AIRCRAFT - Ts, q
00135 | 0000032851 | CANADIAN AMDAR AIRCRAFT - Ts
00150 | 0000000000 | SSM/I SUPEROBED (1 DEGREE LAT/LON) FNMOC (OPERATIONAL) RAIN RATE (DMSP) - rr
00151 | 0000000000 | NESDIS 1x1 F-O-V CLOUD TOP PRESSURE, TEMPERATURE; CLOUD AMOUNT (GOES) - gos_ctp
00152 | 0000000000 | SSM/I SUPEROBED (1 DEGREE LAT/LON) FNMOC (OPERATIONAL) PRECIPITABLE WATER OVER OCEAN (DMSP) - PWt
00153 | 0000131803 | GPS-INTEGRATED PRECIPITABLE WATER (GPS-IPW) - PWt
00154 | 0000000000 | reserved for GOES IMAGER SKY-COVER DATA used only in RTMA/URMA
00156 | 0000000000 | NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER LAND - CLEAR (GOES) - PWl
00157 | 0000000000 | NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER LAND - CLOUDY (GOES) - PWl
00158 | 0000000000 | NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER OCEAN - CLEAR (GOES) - PWl
00159 | 0000000000 | NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER OCEAN - CLOUDY (GOES) - PWl
00164 | 0000000000 | NESDIS 1x1 F-O-V RADIANCES OVER LAND - CLEAR (GOES) - Tb
00165 | 0000000000 | NESDIS 1x1 F-O-V RADIANCES OVER LAND - CLOUDY (GOES) - Tb
00170 | 0000000000 | NACELLE - Tb, q
00171 | 0000000000 | TALL TOWER - Tb, q
