ob ID | var | first ten unique values

00120 | TOB | -83.500 -81.900 -81.300 -80.900 -80.500 -80.300 -80.100 -79.700 -79.500 -79.300
00120 | QOB | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000 9.000
00120 | POB | 5.300 5.400 5.600 5.700 5.800 5.900 6.000 6.200 6.300 6.500
00120 | ZOB | -132.000 -96.000 -89.000 -75.000 -53.000 -50.000 -30.000 -29.000 -22.000 -17.000
00120 | ELV | 3.000 4.000 5.000 6.000 7.000 8.000 9.000 10.000 11.000 12.000


00126 | TOB | -46.000 -45.900 -45.800 -45.700 -45.600 -45.500 -45.400 -45.300 -45.200 -45.100
00126 | POB | 700.900 706.600 712.500 718.400 724.200 730.200 736.100 742.100 748.100 754.300
00126 | ZOB | 156.000 198.000 203.000 205.000 207.000 214.000 216.000 258.000 277.000 308.000
00126 | ELV | 3.000 4.000 5.000 12.000 53.000 56.000 279.000 763.000 1291.000 1503.000

00130 | TOB | -68.000 -64.000 -63.000 -62.000 -61.000 -60.000 -59.000 -58.000 -57.000 -56.000
00130 | POB | 134.000 147.500 162.400 178.700 187.500 188.400 196.800 206.500 207.400 209.400
00130 | ZOB | 183.000 457.000 488.000 610.000 640.000 701.000 762.000 853.000 914.000 1036.000
00130 | ELV | 183.000 457.000 488.000 610.000 640.000 701.000 762.000 853.000 914.000 1036.000

00131 | TOB | -64.000 -63.700 -63.600 -63.500 -63.200 -63.000 -62.700 -62.500 -62.200 -62.000
00131 | POB | 177.500 178.500 178.600 178.700 178.800 178.900 179.500 180.700 186.700 187.300
00131 | ZOB | -130.000 -80.000 -70.000 -60.000 -50.000 -30.000 -20.000 -6.000 0.000 5.000
00131 | ELV | -130.000 -80.000 -70.000 -60.000 -50.000 -30.000 -20.000 -6.000 0.000 5.000


00133 | TOB | -68.000 -67.500 -67.000 -66.700 -66.500 -66.300 -66.000 -65.800 -65.500 -65.300
00133 | QOB | 1.000 2.000 4.000 5.000 6.000 7.000 9.000 10.000 11.000 12.000
00133 | POB | 178.500 178.600 178.700 178.800 186.800 187.300 187.400 187.500 187.600 187.700
00133 | ZOB | -55.000 -52.000 -51.000 -49.000 -46.000 -43.000 -42.000 -41.000 -40.000 -37.000
00133 | ELV | -55.000 -52.000 -51.000 -49.000 -46.000 -43.000 -42.000 -41.000 -40.000 -37.000

00134 | TOB | -82.600 -81.300 -80.400 -80.300 -80.200 -80.000 -79.800 -79.600 -79.400 -79.000
00134 | QOB | 1.000 2.000 3.000 4.000 72.000 102.000 106.000 110.000 113.000 116.000
00134 | POB | 196.200 196.700 202.000 202.100 205.400 205.600 205.700 205.800 206.300 211.400
00134 | ZOB | 24.000 36.000 64.000 67.000 70.000 109.000 112.000 195.000 280.000 365.000
00134 | ELV | 24.000 36.000 64.000 67.000 70.000 109.000 112.000 195.000 280.000 365.000

00135 | TOB | -53.500 -52.000 -51.800 -51.300 -50.800 -46.300 -45.300 -43.800 -43.300 -42.000
00135 | POB | 275.000 275.500 314.300 314.800 325.200 331.000 333.400 338.300 343.800 361.700
00135 | ZOB | -30.000 -20.000 0.000 20.000 40.000 60.000 100.000 110.000 130.000 150.000
00135 | ELV | -30.000 -20.000 0.000 20.000 40.000 60.000 100.000 110.000 130.000 150.000




00153 | PWO | 0.200 0.500 0.600 0.800 0.900 1.000 1.200 1.400 1.500 1.600
00153 | ELV | -83.000 -78.000 -66.000 -58.000 -56.000 -52.000 -51.000 -44.000 -40.000 -33.000












00180 | TOB | -14.800 -14.400 -13.600 -9.600 -8.100 -7.800 -7.500 -7.400 -7.000 -6.700
00180 | QOB | 759.000 779.000 917.000 1369.000 1538.000 1588.000 1654.000 1706.000 1720.000 1751.000
00180 | POB | 981.600 983.300 983.400 983.500 983.700 983.800 983.900 984.000 984.100 984.300
00180 | ZOB | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 9.000 44.000
00180 | ELV | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 9.000 44.000

00181 | TOB | -59.700 -22.100 -21.000 -20.800 -18.200 -17.600 -17.500 -17.300 -17.200 -16.900
00181 | QOB | 3.000 487.000 499.000 520.000 523.000 676.000 689.000 734.000 763.000 773.000
00181 | POB | 659.200 667.000 672.000 682.800 697.900 698.900 700.400 712.500 712.700 718.800
00181 | ZOB | -5.000 -4.000 -1.000 0.000 1.000 2.000 3.000 4.000 5.000 6.000
00181 | ELV | -5.000 -4.000 -1.000 0.000 1.000 2.000 3.000 4.000 5.000 6.000


00183 | TOB | -22.000 -17.000 -16.600 -16.000 -14.000 -13.600 -13.200 -13.000 -12.000 -11.100
00183 | QOB | 490.000 701.000 791.000 849.000 902.000 908.000 976.000 981.000 1063.000 1065.000
00183 | POB | 280.300 840.800 844.600 858.500 859.300 859.700 861.400 863.600 870.300 871.400
00183 | ZOB | 8.000 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000
00183 | ELV | 8.000 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000

00187 | TOB | -17.000 -16.000 -14.000 -13.000 -12.000 -11.000 -10.000 -9.000 -8.000 -7.800
00187 | QOB | 115.000 158.000 162.000 656.000 666.000 696.000 726.000 729.000 740.000 760.000
00187 | POB | 260.900 261.000 631.400 631.900 644.200 644.700 644.900 663.900 664.300 667.000
00187 | ZOB | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000 9.000
00187 | ELV | 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000 9.000

00188 | TOB | -67.800 -55.500 -42.200 -41.700 -41.100 -26.100 -23.300 -22.200 -20.600 -20.000
00188 | QOB | 2.000 10.000 38.000 39.000 47.000 49.000 50.000 53.000 55.000 56.000
00188 | POB | 367.200 367.300 367.400 397.700 397.800 398.000 398.100 419.200 419.300 419.400
00188 | ZOB | -99.000 -71.000 -53.000 -27.000 -6.000 -5.000 -4.000 -3.000 -2.000 -1.000
00188 | ELV | -99.000 -71.000 -53.000 -27.000 -6.000 -5.000 -4.000 -3.000 -2.000 -1.000


00192 | TOB | -5.600 -4.800 -4.100 -4.000 -3.800 -3.700 -3.400 -2.600 -2.400 -2.200
00192 | QOB | 1929.000 2087.000 2091.000 2095.000 2119.000 2125.000 2173.000 2182.000 2184.000 2189.000
00192 | POB | 264.400 719.700 739.200 745.200 750.200 793.300 800.100 800.700 806.500 811.400
00192 | ZOB | -3.000 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000
00192 | ELV | -3.000 0.000 1.000 2.000 3.000 4.000 5.000 6.000 7.000 8.000

00193 | TOB | -9.000 0.000 1.000 1.500 2.000 2.500 3.000 3.400 3.900 4.000
00193 | QOB | 1448.000 1930.000 2085.000 2089.000 2125.000 2154.000 2182.000 2184.000 2185.000 2186.000
00193 | POB | 636.500 747.600 786.700 808.600 863.700 868.600 870.800 873.000 881.300 882.600
00193 | ZOB | 0.000 1.000 3.000 4.000 5.000 6.000 7.000 9.000 10.000 15.000
00193 | ELV | 0.000 1.000 3.000 4.000 5.000 6.000 7.000 9.000 10.000 15.000

00194 | TOB | 0.900 2.000 2.300 2.600 2.900 4.300 4.400 4.500 5.500 5.700
