 nmsg,subset,cycletime,ntb,SID,XOB,YOB,DHR,TYP,ELV,SAID,T29,POB,QOB,TOB,ZOB,UOB,VOB,PWO,CAT,PRSS,PQM,QQM,TQM,ZQM,WQM,NUL,PWQ,POE,QOE,TOE,NUL,WOE,NUL,PWE,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,1008.0,17305.0,23.8,7.0,100000000000.0,100000000000.0,100000000000.0,0.0,100000000000.0,2.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,1000.0,17660.0,23.6,78.0,100000000000.0,100000000000.0,100000000000.0,1.0,100000000000.0,2.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,982.0,17126.0,24.8,100000000000.0,100000000000.0,100000000000.0,100000000000.0,2.0,100000000000.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,925.0,16073.0,22.2,763.0,100000000000.0,100000000000.0,100000000000.0,1.0,100000000000.0,2.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,850.0,13851.0,18.0,1495.0,100000000000.0,100000000000.0,100000000000.0,1.0,100000000000.0,2.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,796.0,11329.0,16.2,100000000000.0,100000000000.0,100000000000.0,100000000000.0,2.0,100000000000.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,745.0,10959.0,11.4,100000000000.0,100000000000.0,100000000000.0,100000000000.0,2.0,100000000000.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,700.0,9074.0,8.800000000000002,3138.0,100000000000.0,100000000000.0,100000000000.0,1.0,100000000000.0,2.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,680.0,8018.0,7.800000000000002,100000000000.0,100000000000.0,100000000000.0,100000000000.0,2.0,100000000000.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
 1,ADPUPA,2022042912,1,78807,280.42,8.98,0.0,120.0,7.0,100000000000.0,11.0,668.0,7290.0,8.4,100000000000.0,100000000000.0,100000000000.0,100000000000.0,2.0,100000000000.0,2.0,2.0,2.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,
