lon (deg E), lat (deg N)
-98.235, 26.227
-97.892, 26.234
-97.548, 26.240
-80.501, 25.048
-98.934, 26.519
-98.589, 26.529
-98.244, 26.537
-97.899, 26.544
-97.554, 26.550
-81.115, 25.455
-80.779, 25.404
-80.443, 25.352
-98.945, 26.830
-98.599, 26.839
-98.252, 26.848
-97.906, 26.855
-97.560, 26.861
-81.059, 25.761
-80.722, 25.709
-80.385, 25.657
-99.304, 27.130
-98.956, 27.141
-98.609, 27.150
-98.261, 27.158
-97.913, 27.166
-97.566, 27.172
-81.681, 26.166
-81.342, 26.117
-81.003, 26.066
-80.665, 26.015
-80.327, 25.962
-99.317, 27.441
-98.968, 27.452
-98.619, 27.461
-98.270, 27.470
-97.921, 27.477
-97.572, 27.483
-81.627, 26.472
-81.286, 26.423
-80.946, 26.372
-80.607, 26.320
-80.268, 26.268
-99.679, 27.740
-99.329, 27.752
-98.979, 27.763
-98.629, 27.773
-98.278, 27.781
-97.928, 27.788
-97.578, 27.794
-82.257, 26.875
-81.914, 26.828
-81.572, 26.779
-81.231, 26.729
-80.889, 26.678
-80.549, 26.626
-80.208, 26.573
-99.694, 28.052
-99.342, 28.064
-98.991, 28.075
-98.639, 28.084
-98.287, 28.093
-97.936, 28.100
-97.584, 28.106
-97.232, 28.111
-96.880, 28.115
-82.204, 27.182
-81.861, 27.135
-81.517, 27.086
-81.174, 27.036
-80.490, 26.933
-80.148, 26.879
-100.061, 28.350
-99.708, 28.364
-99.355, 28.376
-99.002, 28.387
-98.649, 28.396
-98.296, 28.405
-97.943, 28.412
-97.590, 28.418
-97.237, 28.423
-96.883, 28.427
-96.530, 28.429
-82.497, 27.537
-82.151, 27.490
-81.806, 27.442
-81.462, 27.393
-81.118, 27.343
-80.774, 27.292
-80.431, 27.239
-100.076, 28.662
-99.722, 28.676
-99.368, 28.688
-99.014, 28.699
-98.660, 28.709
-98.305, 28.717
-97.951, 28.725
-97.596, 28.731
-97.241, 28.736
-96.887, 28.739
-96.532, 28.742
-96.177, 28.743
-95.823, 28.743
-82.792, 27.891
-82.098, 27.798
-81.752, 27.750
-81.406, 27.701
-81.061, 27.650
-80.716, 27.599
-100.448, 28.960
-100.092, 28.975
-99.737, 28.988
-99.381, 29.001
-99.026, 29.012
-98.670, 29.021
-98.314, 29.030
