lon (deg E), lat (deg N)
-98.209, 26.161
-98.245, 27.492
-81.891, 26.532
-80.433, 26.316
-99.804, 28.785
-98.283, 28.830
-96.761, 28.852
-81.658, 27.849
-104.491, 29.852
-102.954, 29.966
-101.413, 30.057
-99.868, 30.126
-98.322, 30.172
-96.774, 30.195
-95.226, 30.195
-93.678, 30.172
-92.132, 30.126
-90.587, 30.057
-82.931, 29.375
-81.418, 29.171
-104.637, 31.192
-103.074, 31.308
-101.506, 31.401
-99.935, 31.471
-98.362, 31.518
-96.788, 31.541
-95.212, 31.541
-92.065, 31.471
-90.494, 31.401
-88.926, 31.308
-87.363, 31.192
-85.805, 31.052
-84.253, 30.890
-82.707, 30.705
-111.087, 31.827
-109.524, 32.039
-107.952, 32.227
-106.373, 32.393
-104.788, 32.535
-103.198, 32.654
-101.603, 32.749
-100.005, 32.821
-98.404, 32.868
-96.801, 32.892
-95.199, 32.892
-93.596, 32.868
-91.995, 32.821
-90.397, 32.749
-88.802, 32.654
-87.212, 32.535
-85.627, 32.393
-84.048, 32.227
-82.476, 32.039
-114.504, 32.659
-112.934, 32.921
-111.353, 33.160
-109.763, 33.375
-108.164, 33.568
-106.558, 33.737
-104.945, 33.882
-103.327, 34.003
-101.703, 34.100
-100.076, 34.173
-98.447, 34.221
-96.816, 34.246
-95.184, 34.246
-93.553, 34.221
-91.924, 34.173
-90.297, 34.100
-88.673, 34.003
-87.055, 33.882
-85.442, 33.737
-83.836, 33.568
-82.237, 33.375
-80.647, 33.160
-116.418, 33.693
-114.833, 33.983
-113.236, 34.250
-111.628, 34.494
-110.011, 34.714
-108.384, 34.910
-106.749, 35.083
-105.108, 35.230
-103.460, 35.354
-101.807, 35.453
-100.151, 35.527
-98.492, 35.577
-96.831, 35.602
-95.169, 35.602
-93.508, 35.577
-91.849, 35.527
-90.193, 35.453
-88.540, 35.354
-86.892, 35.230
-85.251, 35.083
-83.616, 34.910
-81.989, 34.714
-80.372, 34.494
-78.764, 34.250
-118.384, 34.694
-116.785, 35.013
-115.173, 35.309
-113.549, 35.582
-111.913, 35.830
-110.267, 36.054
-108.612, 36.254
-106.948, 36.430
-105.276, 36.581
-103.598, 36.707
-101.915, 36.807
-100.228, 36.883
-98.538, 36.934
-96.846, 36.959
-95.154, 36.959
-93.462, 36.934
-91.772, 36.883
-90.085, 36.807
-88.402, 36.707
-86.724, 36.581
-85.052, 36.430
-83.388, 36.254
-81.733, 36.054
-80.087, 35.830
-78.451, 35.582
-76.827, 35.309
-120.402, 35.661
-118.791, 36.009
-117.166, 36.334
-115.526, 36.636
-113.874, 36.913
-112.209, 37.167
-110.534, 37.395
-108.848, 37.599
-107.153, 37.778
-105.451, 37.932
-103.742, 38.060
-102.027, 38.163
-100.308, 38.240
-98.586, 38.292
-96.862, 38.317
-95.138, 38.317
-91.692, 38.240
-89.973, 38.163
-88.258, 38.060
-86.549, 37.932
-84.847, 37.778
-83.152, 37.599
-81.466, 37.395
-79.791, 37.167
-78.126, 36.913
-76.474, 36.636
-120.851, 36.969
-119.213, 37.324
-117.560, 37.655
-115.892, 37.962
-114.210, 38.245
-112.516, 38.503
-110.810, 38.736
-109.093, 38.944
-107.367, 39.126
-105.632, 39.283
-103.891, 39.414
-102.143, 39.518
-100.391, 39.597
-98.636, 39.650
-96.879, 39.676
-95.121, 39.676
-93.364, 39.650
-91.609, 39.597
-89.857, 39.518
-88.109, 39.414
-86.368, 39.283
-84.633, 39.126
-82.907, 38.944
-81.190, 38.736
-79.484, 38.503
-77.790, 38.245
-121.317, 38.276
-119.651, 38.638
-117.969, 38.975
-116.272, 39.288
-114.560, 39.576
-112.834, 39.839
-111.097, 40.076
-109.348, 40.288
-107.589, 40.474
-105.821, 40.633
-104.046, 40.767
-102.264, 40.873
-100.478, 40.954
-98.688, 41.007
-96.896, 41.034
-95.104, 41.034
-93.312, 41.007
-91.522, 40.954
-89.736, 40.873
-87.954, 40.767
-86.179, 40.633
-84.411, 40.474
-82.652, 40.288
-80.903, 40.076
-79.166, 39.839
-77.440, 39.576
-75.728, 39.288
-123.475, 39.189
-121.799, 39.581
-120.105, 39.949
-118.394, 40.293
-116.666, 40.612
-114.923, 40.905
-113.165, 41.173
-111.395, 41.415
-109.612, 41.630
-107.819, 41.820
-106.017, 41.982
-104.207, 42.118
-102.390, 42.227
-100.568, 42.308
-98.742, 42.363
-96.914, 42.390
-95.086, 42.390
-93.258, 42.363
-91.432, 42.308
-89.610, 42.227
-87.793, 42.118
-85.983, 41.982
-84.181, 41.820
-80.605, 41.415
-78.835, 41.173
-77.077, 40.905
-75.334, 40.612
-124.005, 40.484
-122.300, 40.884
-120.577, 41.259
-118.835, 41.609
-117.075, 41.933
-115.300, 42.232
-113.509, 42.505
-111.705, 42.751
-109.888, 42.971
-108.059, 43.163
-106.221, 43.329
-104.374, 43.467
-102.521, 43.578
-100.661, 43.661
-98.798, 43.717
-96.933, 43.744
-95.067, 43.744
-93.202, 43.717
-91.339, 43.661
-89.479, 43.578
-85.779, 43.329
-83.941, 43.163
-78.491, 42.505
-76.700, 42.232
-74.925, 41.933
-73.165, 41.609
-122.821, 42.183
-121.067, 42.565
